provincia,poblacion,total,acumuladas,lat,lng,mes
Azuay,881394,505,505,-2.897414,-79.004481,1
Bolívar,209933,110,110,-1.605556,-79.003056,1
Carchi,186869,151,151,0.81218,-77.71633,1
Cañar,281396,139,139,-2.733333,-78.833333,1
Chimborazo,524004,317,317,-1.674347,-78.64829399999999,1
Cotopaxi,488716,279,279,-0.933333,-78.616667,1
El Oro,715751,442,442,-3.266667,-79.966667,1
Esmeraldas,591083,176,176,1.05,-79.2,1
Galápagos,33042,12,12,-0.799999999999999,-89.4,1
Guayas,4387434,2664,2664,-2.183333,-79.883333,1
Imbabura,476257,274,274,0.362678,-78.130667,1
Loja,521154,250,250,-3.983333,-79.2,1
Los Ríos,921763,441,441,-1.8,-79.533333,1
Manabí,1562079,774,774,-1.056181,-80.455217,1
Morona Santiago,196535,57,57,-2.3,-78.116667,1
Napo,133705,57,57,-0.989,-77.8159,1
Orellana,161338,46,46,-0.466667,-76.966667,1
Pastaza,114202,42,42,-1.066667,-78.001111,1
Pichincha,3228233,1828,1828,-0.218611,-78.509722,1
Santa Elena,401178,178,178,-2.2267,-80.8583,1
Sto. Domingo Tsáchilas,511151,245,245,-0.254167,-79.171944,1
Sucumbíos,230503,85,85,0.084722,-76.882778,1
Tungurahua,590600,448,448,-1.241667,-78.619722,1
Zamora Chinchipe,120416,32,32,-4.12,-78.8,1
Azuay,881394,479,984,-2.897414,-79.004481,2
Bolívar,209933,94,204,-1.605556,-79.003056,2
Carchi,186869,73,224,0.81218,-77.71633,2
Cañar,281396,132,271,-2.733333,-78.833333,2
Chimborazo,524004,266,583,-1.674347,-78.64829399999999,2
Cotopaxi,488716,273,552,-0.933333,-78.616667,2
El Oro,715751,465,907,-3.266667,-79.966667,2
Esmeraldas,591083,192,368,1.05,-79.2,2
Galápagos,33042,6,18,-0.799999999999999,-89.4,2
Guayas,4387434,2461,5125,-2.183333,-79.883333,2
Imbabura,476257,237,511,0.362678,-78.130667,2
Loja,521154,286,536,-3.983333,-79.2,2
Los Ríos,921763,470,911,-1.8,-79.533333,2
Manabí,1562079,867,1641,-1.056181,-80.455217,2
Morona Santiago,196535,48,105,-2.3,-78.116667,2
Napo,133705,41,98,-0.989,-77.8159,2
Orellana,161338,44,90,-0.466667,-76.966667,2
Pastaza,114202,29,71,-1.066667,-78.001111,2
Pichincha,3228233,1626,3454,-0.218611,-78.509722,2
Santa Elena,401178,131,309,-2.2267,-80.8583,2
Sto. Domingo Tsáchilas,511151,268,513,-0.254167,-79.171944,2
Sucumbíos,230503,75,160,0.084722,-76.882778,2
Tungurahua,590600,352,800,-1.241667,-78.619722,2
Zamora Chinchipe,120416,36,68,-4.12,-78.8,2
Azuay,881394,525,1509,-2.897414,-79.004481,3
Bolívar,209933,149,353,-1.605556,-79.003056,3
Carchi,186869,96,320,0.81218,-77.71633,3
Cañar,281396,170,441,-2.733333,-78.833333,3
Chimborazo,524004,335,918,-1.674347,-78.64829399999999,3
Cotopaxi,488716,264,816,-0.933333,-78.616667,3
El Oro,715751,496,1403,-3.266667,-79.966667,3
Esmeraldas,591083,295,663,1.05,-79.2,3
Galápagos,33042,11,29,-0.799999999999999,-89.4,3
Guayas,4387434,3152,8277,-2.183333,-79.883333,3
Imbabura,476257,250,761,0.362678,-78.130667,3
Loja,521154,456,992,-3.983333,-79.2,3
Los Ríos,921763,593,1504,-1.8,-79.533333,3
Manabí,1562079,1146,2787,-1.056181,-80.455217,3
Morona Santiago,196535,61,166,-2.3,-78.116667,3
Napo,133705,51,149,-0.989,-77.8159,3
Orellana,161338,56,146,-0.466667,-76.966667,3
Pastaza,114202,47,118,-1.066667,-78.001111,3
Pichincha,3228233,1934,5388,-0.218611,-78.509722,3
Santa Elena,401178,201,510,-2.2267,-80.8583,3
Sto. Domingo Tsáchilas,511151,389,902,-0.254167,-79.171944,3
Sucumbíos,230503,103,263,0.084722,-76.882778,3
Tungurahua,590600,361,1161,-1.241667,-78.619722,3
Zamora Chinchipe,120416,40,108,-4.12,-78.8,3
Azuay,881394,599,2108,-2.897414,-79.004481,4
Bolívar,209933,145,498,-1.605556,-79.003056,4
Carchi,186869,105,425,0.81218,-77.71633,4
Cañar,281396,152,593,-2.733333,-78.833333,4
Chimborazo,524004,378,1296,-1.674347,-78.64829399999999,4
Cotopaxi,488716,311,1127,-0.933333,-78.616667,4
El Oro,715751,710,2113,-3.266667,-79.966667,4
Esmeraldas,591083,275,938,1.05,-79.2,4
Galápagos,33042,9,38,-0.799999999999999,-89.4,4
Guayas,4387434,3739,12016,-2.183333,-79.883333,4
Imbabura,476257,328,1089,0.362678,-78.130667,4
Loja,521154,514,1506,-3.983333,-79.2,4
Los Ríos,921763,660,2164,-1.8,-79.533333,4
Manabí,1562079,1184,3971,-1.056181,-80.455217,4
Morona Santiago,196535,60,226,-2.3,-78.116667,4
Napo,133705,50,199,-0.989,-77.8159,4
Orellana,161338,58,204,-0.466667,-76.966667,4
Pastaza,114202,46,164,-1.066667,-78.001111,4
Pichincha,3228233,2482,7870,-0.218611,-78.509722,4
Santa Elena,401178,278,788,-2.2267,-80.8583,4
Sto. Domingo Tsáchilas,511151,430,1332,-0.254167,-79.171944,4
Sucumbíos,230503,120,383,0.084722,-76.882778,4
Tungurahua,590600,537,1698,-1.241667,-78.619722,4
Zamora Chinchipe,120416,87,195,-4.12,-78.8,4
Azuay,881394,599,2707,-2.897414,-79.004481,5
Bolívar,209933,111,609,-1.605556,-79.003056,5
Carchi,186869,113,538,0.81218,-77.71633,5
Cañar,281396,156,749,-2.733333,-78.833333,5
Chimborazo,524004,369,1665,-1.674347,-78.64829399999999,5
Cotopaxi,488716,317,1444,-0.933333,-78.616667,5
El Oro,715751,537,2650,-3.266667,-79.966667,5
Esmeraldas,591083,242,1180,1.05,-79.2,5
Galápagos,33042,6,44,-0.799999999999999,-89.4,5
Guayas,4387434,2954,14970,-2.183333,-79.883333,5
Imbabura,476257,359,1448,0.362678,-78.130667,5
Loja,521154,348,1854,-3.983333,-79.2,5
Los Ríos,921763,540,2704,-1.8,-79.533333,5
Manabí,1562079,853,4824,-1.056181,-80.455217,5
Morona Santiago,196535,57,283,-2.3,-78.116667,5
Napo,133705,59,258,-0.989,-77.8159,5
Orellana,161338,56,260,-0.466667,-76.966667,5
Pastaza,114202,60,224,-1.066667,-78.001111,5
Pichincha,3228233,2278,10148,-0.218611,-78.509722,5
Santa Elena,401178,161,949,-2.2267,-80.8583,5
Sto. Domingo Tsáchilas,511151,326,1658,-0.254167,-79.171944,5
Sucumbíos,230503,102,485,0.084722,-76.882778,5
Tungurahua,590600,509,2207,-1.241667,-78.619722,5
Zamora Chinchipe,120416,51,246,-4.12,-78.8,5
Azuay,881394,482,3189,-2.897414,-79.004481,6
Bolívar,209933,76,685,-1.605556,-79.003056,6
Carchi,186869,103,641,0.81218,-77.71633,6
Cañar,281396,114,863,-2.733333,-78.833333,6
Chimborazo,524004,281,1946,-1.674347,-78.64829399999999,6
Cotopaxi,488716,236,1680,-0.933333,-78.616667,6
El Oro,715751,379,3029,-3.266667,-79.966667,6
Esmeraldas,591083,188,1368,1.05,-79.2,6
Galápagos,33042,4,48,-0.799999999999999,-89.4,6
Guayas,4387434,2186,17156,-2.183333,-79.883333,6
Imbabura,476257,241,1689,0.362678,-78.130667,6
Loja,521154,257,2111,-3.983333,-79.2,6
Los Ríos,921763,382,3086,-1.8,-79.533333,6
Manabí,1562079,683,5507,-1.056181,-80.455217,6
Morona Santiago,196535,53,336,-2.3,-78.116667,6
Napo,133705,45,303,-0.989,-77.8159,6
Orellana,161338,47,307,-0.466667,-76.966667,6
Pastaza,114202,35,259,-1.066667,-78.001111,6
Pichincha,3228233,1648,11796,-0.218611,-78.509722,6
Santa Elena,401178,137,1086,-2.2267,-80.8583,6
Sto. Domingo Tsáchilas,511151,236,1894,-0.254167,-79.171944,6
Sucumbíos,230503,60,545,0.084722,-76.882778,6
Tungurahua,590600,346,2553,-1.241667,-78.619722,6
Zamora Chinchipe,120416,22,268,-4.12,-78.8,6
Azuay,881394,480,3669,-2.897414,-79.004481,7
Bolívar,209933,84,769,-1.605556,-79.003056,7
Carchi,186869,98,739,0.81218,-77.71633,7
Cañar,281396,134,997,-2.733333,-78.833333,7
Chimborazo,524004,276,2222,-1.674347,-78.64829399999999,7
Cotopaxi,488716,212,1892,-0.933333,-78.616667,7
El Oro,715751,329,3358,-3.266667,-79.966667,7
Esmeraldas,591083,182,1550,1.05,-79.2,7
Galápagos,33042,4,52,-0.799999999999999,-89.4,7
Guayas,4387434,2132,19288,-2.183333,-79.883333,7
Imbabura,476257,230,1919,0.362678,-78.130667,7
Loja,521154,230,2341,-3.983333,-79.2,7
Los Ríos,921763,390,3476,-1.8,-79.533333,7
Manabí,1562079,581,6088,-1.056181,-80.455217,7
Morona Santiago,196535,43,379,-2.3,-78.116667,7
Napo,133705,52,355,-0.989,-77.8159,7
Orellana,161338,52,359,-0.466667,-76.966667,7
Pastaza,114202,35,294,-1.066667,-78.001111,7
Pichincha,3228233,1684,13480,-0.218611,-78.509722,7
Santa Elena,401178,142,1228,-2.2267,-80.8583,7
Sto. Domingo Tsáchilas,511151,202,2096,-0.254167,-79.171944,7
Sucumbíos,230503,76,621,0.084722,-76.882778,7
Tungurahua,590600,280,2833,-1.241667,-78.619722,7
Zamora Chinchipe,120416,22,290,-4.12,-78.8,7
Azuay,881394,394,4063,-2.897414,-79.004481,8
Bolívar,209933,87,856,-1.605556,-79.003056,8
Carchi,186869,77,816,0.81218,-77.71633,8
Cañar,281396,111,1108,-2.733333,-78.833333,8
Chimborazo,524004,227,2449,-1.674347,-78.64829399999999,8
Cotopaxi,488716,178,2070,-0.933333,-78.616667,8
El Oro,715751,341,3699,-3.266667,-79.966667,8
Esmeraldas,591083,161,1711,1.05,-79.2,8
Galápagos,33042,7,59,-0.799999999999999,-89.4,8
Guayas,4387434,1913,21201,-2.183333,-79.883333,8
Imbabura,476257,187,2106,0.362678,-78.130667,8
Loja,521154,230,2571,-3.983333,-79.2,8
Los Ríos,921763,368,3844,-1.8,-79.533333,8
Manabí,1562079,625,6713,-1.056181,-80.455217,8
Morona Santiago,196535,66,445,-2.3,-78.116667,8
Napo,133705,31,386,-0.989,-77.8159,8
Orellana,161338,36,395,-0.466667,-76.966667,8
Pastaza,114202,33,327,-1.066667,-78.001111,8
Pichincha,3228233,1305,14785,-0.218611,-78.509722,8
Santa Elena,401178,121,1349,-2.2267,-80.8583,8
Sto. Domingo Tsáchilas,511151,196,2292,-0.254167,-79.171944,8
Sucumbíos,230503,78,699,0.084722,-76.882778,8
Tungurahua,590600,243,3076,-1.241667,-78.619722,8
Zamora Chinchipe,120416,31,321,-4.12,-78.8,8
Azuay,881394,325,4388,-2.897414,-79.004481,9
Bolívar,209933,79,935,-1.605556,-79.003056,9
Carchi,186869,67,883,0.81218,-77.71633,9
Cañar,281396,96,1204,-2.733333,-78.833333,9
Chimborazo,524004,181,2630,-1.674347,-78.64829399999999,9
Cotopaxi,488716,153,2223,-0.933333,-78.616667,9
El Oro,715751,311,4010,-3.266667,-79.966667,9
Esmeraldas,591083,168,1879,1.05,-79.2,9
Galápagos,33042,5,64,-0.799999999999999,-89.4,9
Guayas,4387434,1975,23176,-2.183333,-79.883333,9
Imbabura,476257,194,2300,0.362678,-78.130667,9
Loja,521154,221,2792,-3.983333,-79.2,9
Los Ríos,921763,336,4180,-1.8,-79.533333,9
Manabí,1562079,540,7253,-1.056181,-80.455217,9
Morona Santiago,196535,34,479,-2.3,-78.116667,9
Napo,133705,46,432,-0.989,-77.8159,9
Orellana,161338,40,435,-0.466667,-76.966667,9
Pastaza,114202,27,354,-1.066667,-78.001111,9
Pichincha,3228233,1172,15957,-0.218611,-78.509722,9
Santa Elena,401178,106,1455,-2.2267,-80.8583,9
Sto. Domingo Tsáchilas,511151,192,2484,-0.254167,-79.171944,9
Sucumbíos,230503,52,751,0.084722,-76.882778,9
Tungurahua,590600,270,3346,-1.241667,-78.619722,9
Zamora Chinchipe,120416,16,337,-4.12,-78.8,9
Azuay,881394,350,4738,-2.897414,-79.004481,10
Bolívar,209933,72,1007,-1.605556,-79.003056,10
Carchi,186869,68,951,0.81218,-77.71633,10
Cañar,281396,89,1293,-2.733333,-78.833333,10
Chimborazo,524004,189,2819,-1.674347,-78.64829399999999,10
Cotopaxi,488716,139,2362,-0.933333,-78.616667,10
El Oro,715751,257,4267,-3.266667,-79.966667,10
Esmeraldas,591083,144,2023,1.05,-79.2,10
Galápagos,33042,2,66,-0.799999999999999,-89.4,10
Guayas,4387434,1927,25103,-2.183333,-79.883333,10
Imbabura,476257,162,2462,0.362678,-78.130667,10
Loja,521154,211,3003,-3.983333,-79.2,10
Los Ríos,921763,358,4538,-1.8,-79.533333,10
Manabí,1562079,577,7830,-1.056181,-80.455217,10
Morona Santiago,196535,29,508,-2.3,-78.116667,10
Napo,133705,34,466,-0.989,-77.8159,10
Orellana,161338,54,489,-0.466667,-76.966667,10
Pastaza,114202,35,389,-1.066667,-78.001111,10
Pichincha,3228233,1118,17075,-0.218611,-78.509722,10
Santa Elena,401178,112,1567,-2.2267,-80.8583,10
Sto. Domingo Tsáchilas,511151,188,2672,-0.254167,-79.171944,10
Sucumbíos,230503,67,818,0.084722,-76.882778,10
Tungurahua,590600,239,3585,-1.241667,-78.619722,10
Zamora Chinchipe,120416,29,366,-4.12,-78.8,10
Azuay,881394,158,4896,-2.897414,-79.004481,11
Bolívar,209933,39,1046,-1.605556,-79.003056,11
Carchi,186869,29,980,0.81218,-77.71633,11
Cañar,281396,35,1328,-2.733333,-78.833333,11
Chimborazo,524004,80,2899,-1.674347,-78.64829399999999,11
Cotopaxi,488716,84,2446,-0.933333,-78.616667,11
El Oro,715751,145,4412,-3.266667,-79.966667,11
Esmeraldas,591083,74,2097,1.05,-79.2,11
Galápagos,33042,1,67,-0.799999999999999,-89.4,11
Guayas,4387434,959,26062,-2.183333,-79.883333,11
Imbabura,476257,118,2580,0.362678,-78.130667,11
Loja,521154,93,3096,-3.983333,-79.2,11
Los Ríos,921763,189,4727,-1.8,-79.533333,11
Manabí,1562079,339,8169,-1.056181,-80.455217,11
Morona Santiago,196535,16,524,-2.3,-78.116667,11
Napo,133705,21,487,-0.989,-77.8159,11
Orellana,161338,24,513,-0.466667,-76.966667,11
Pastaza,114202,12,401,-1.066667,-78.001111,11
Pichincha,3228233,609,17684,-0.218611,-78.509722,11
Santa Elena,401178,62,1629,-2.2267,-80.8583,11
Sto. Domingo Tsáchilas,511151,119,2791,-0.254167,-79.171944,11
Sucumbíos,230503,21,839,0.084722,-76.882778,11
Tungurahua,590600,140,3725,-1.241667,-78.619722,11
Zamora Chinchipe,120416,11,377,-4.12,-78.8,11
